run,episode,spatial_variance,stability,entropy,collapse,constraint_count,mean_strength
0,0,76532.351562,0.759892,8.377860,0.000000,3,63.333332
0,1,60999.875000,0.700471,8.435968,0.000000,3,63.333332
0,2,59750.871094,0.704885,8.384023,0.000000,3,63.333332
0,3,74520.468750,0.743939,8.360968,0.000000,3,63.333332
0,4,64058.976562,0.757697,8.289307,0.000000,3,63.333332
0,5,54798.800781,0.686938,8.373342,0.000000,3,63.333332
0,6,61169.453125,0.784144,8.422397,0.000000,3,63.333332
0,7,55596.460938,0.834233,8.383748,0.000000,3,63.333332
0,8,59379.910156,0.754245,8.440516,0.000000,3,63.333332
0,9,60566.218750,0.806436,8.302630,0.000000,3,63.333332
